genome_id,genome_name,organism_name,ncbi_taxon_id,genome_status,strain,serovar,biovar,pathovar,mlst,other_typing,culture_collection,type_strain,completion_date,publication,bio_project_accession,bio_sample_accession,assembly_accession,sra_accession,gen_bank_accessions,ref_seq_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,genome_length,gc_content,patric_cds,ref_seq_cds,isolation_site,isolation_source,isolation_comments,collection_date,isolation_country,geographic_location,latitude,longitude,altitude,depth,other_environmental,host_name,host_gender,host_age,host_health,body_sample_site,body_sample_subsite,other_clinical,anti_microbial_resistance,anti_microbial_resistance_evidence,gram_stain,cell_shape,motility,sporulation,temperature_range,optimal_temperature,salinity,oxygen_requirement,habitat,disease,comments,additional_metadata,coarse_consistency,fine_consistency,checkm_completeness,checkm_contamination,genome_quality_flags,genome_quality,date_inserted,date_modified
470.4683,Acinetobacter baumannii strain ABNIH28,NA,470,Complete,ABNIH28,NA,NA,NA,NA,NA,NA,NA,2018-01-29T00:00:00Z,NA,PRJNA430813,SAMN06040401,GCA_002902885.1,NA,"CP026125,CP026128,CP026129,CP026126,CP026127",NA,NIH,NA,PacBio RSII,221x,canu v. 1.4,1,4,5,4078838,39.044525,4034,3939,NA,patients and hospital environment,isolated from patients and hospital environment,2016,United States,United States,NA,NA,NA,NA,env_biome:wastewater/sludge,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carbapenem Resistant Enterobacteriaceae strains including Klebsiella, Escherichia, Enterobacter, Citrobacter and Pantoea species isolated from patients and hospital environment.",NA,98.4,97.3,99.2,1,NA,Good,2018-05-25T20:28:44Z,2018-05-25T20:28:44Z
470.6248,Acinetobacter baumannii strain WPB103,NA,470,Complete,WPB103,NA,NA,NA,NA,NA,NA,NA,2018-12-14T00:00:00Z,NA,PRJNA508839,SAMN10531494,GCA_003945465.1,NA,CP034427,NA,National University of Singapore,NA,Illumina HiSeq,300x,Velvet v. 2.2.4,1,NA,1,3240866,38.795753,3334,3198,NA,hospital wastewaters,isolated from a hospital wastewater effluent in Singapore,10/20/17,Singapore,Singapore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A ceftazidime-resistant Acinetobacter baumannii was isolated from a hospital wastewater effluent in Singapore. The isolate then acted as donor and was subjected to filter mating experiment with E. coli SCC1 strain as recipient. The recipient, donor and transconjugate was then sequenced and both donor and transconjugate was found to harbour blaNDM-1 and aph(3’)-VI gene, of which bla¬NDM-1 was responsible for the resistance against ceftazidime.",sample_type:cell culture,98.4,97.4,NA,NA,NA,Good,2019-01-31T09:15:26Z,2019-01-31T09:15:26Z
648.124,Aeromonas caviae strain GSH8M-1,NA,648,Complete,GSH8M-1,NA,NA,NA,NA,NA,NA,NA,2018-11-28T00:00:00Z,NA,PRJDB6962,SAMD00144878,GCA_003925855.1,NA,AP019195,NA,"Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases",NA,Sequel; NextSeq500,200x,Canu v. 1.4; minimap v. 0.2-r124; racon v.,1,NA,1,4611279,60.999737,4399,4211,NA,wastewater treatment plant effluent,NA,2018-08,Japan,Japan:Tokyo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The purpose of this project is related to metagenomic survey and genomic epidemiology analysis of antimicrobial resistance bacteria (in particular, carbapenem and/or beta-lactam resistant Enterobacteriaceae) in Japanese wastewater treatment plant.",NA,99,97.3,NA,NA,NA,Good,2019-01-31T05:51:48Z,2019-01-31T05:51:48Z
648.114,Aeromonas caviae strain R25-2,NA,648,Complete,R25-2,NA,NA,NA,MLST.Aeromonas_spp.313,NA,NA,NA,2018-07-09T00:00:00Z,NA,PRJNA428427,SAMN08290451,GCA_003294925.1,NA,CP025777,NA,"Research center for Eco-environmental Sciences, Chinese Academy of Sciences",NA,PacBio,100X,Celera Assembler v. version 2.3.0,1,NA,1,4690132,61.156765,4939,4258,NA,sludge from bioreactor treating oxytetracycline bearing wastewater,isolated from an aerobic reactor treating oxytetracycline bearing wastewater,1-Nov-16,China,China: Beijing,NA,NA,NA,NA,NA,sludge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A. caviae strains were isolated from an aerobic reactor treating oxytetracycline bearing wastewater.,sample_type:cell culture,99.3,91.9,100,5.9,NA,Good,2018-07-16T12:54:05Z,2018-07-16T12:54:05Z
648.112,Aeromonas caviae strain R25-6,NA,648,Complete,R25-6,NA,NA,NA,MLST.Aeromonas_spp.141,NA,NA,NA,2018-07-09T00:00:00Z,NA,PRJNA428427,SAMN08290453,GCA_003294855.1,NA,CP025705,NA,"Research center for Eco-environmental Sciences, Chinese Academy of Sciences",NA,PacBio,100X,Celera Assembler v. version 2.3.0,1,NA,1,4702913,61.380127,4533,4259,NA,sludge from bioreactor treating oxytetracycline bearing wastewater,isolated from an aerobic reactor treating oxytetracycline bearing wastewater,1-Nov-16,China,China: Beijing,NA,NA,NA,NA,NA,sludge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A. caviae strains were isolated from an aerobic reactor treating oxytetracycline bearing wastewater.,sample_type:cell culture,99.3,96.2,100,0.6,NA,Good,2018-07-16T12:53:17Z,2018-07-16T12:53:17Z
648.113,Aeromonas caviae strain T25-39,NA,648,Complete,T25-39,NA,NA,NA,MLST.Aeromonas_spp.313,NA,NA,NA,2018-07-09T00:00:00Z,NA,PRJNA428427,SAMN08290452,GCA_003294895.1,NA,CP025706,NA,"Research center for Eco-environmental Sciences, Chinese Academy of Sciences",NA,PacBio,100X,Celera Assembler v. version 2.3.0,1,NA,1,4650143,61.10242,4599,4208,NA,sludge from bioreactor treating oxytetracycline bearing wastewater,isolated from an aerobic reactor treating oxytetracycline bearing wastewater,1-Nov-16,China,China: Beijing,NA,NA,NA,NA,NA,sludge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A. caviae strains were isolated from an aerobic reactor treating oxytetracycline bearing wastewater.,sample_type:cell culture,99.3,96.2,100,2.7,NA,Good,2018-07-16T12:53:38Z,2018-07-16T12:53:38Z
1920107.3,Aeromonas sp. ASNIH7,NA,1920107,Complete,ASNIH7,NA,NA,NA,NA,NA,NA,NA,2018-01-29T00:00:00Z,NA,PRJNA430813,SAMN06040385,GCA_002903485.1,NA,"CP026226,CP026227",NA,NIH,NA,PacBio RSII,158x,canu v. 1.3,1,1,2,4868657,60.783684,4729,4396,NA,patients and hospital environment,isolated from patients and hospital environment,2015,United States,United States,NA,NA,NA,NA,env_biome:wastewater/sludge,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carbapenem Resistant Enterobacteriaceae strains including Klebsiella, Escherichia, Enterobacter, Citrobacter and Pantoea species isolated from patients and hospital environment.",NA,99.2,96.7,100,0.6,NA,Good,2018-05-25T20:34:44Z,2018-05-25T20:34:44Z
511.51,Alcaligenes faecalis strain JQ135,NA,511,Complete,JQ135,NA,NA,NA,NA,NA,NA,NA,2017-08-07T00:00:00Z,NA,PRJNA388257,SAMN07173706,GCA_002242175.1,NA,CP021641,NA,Nanjing Agricultural University,NA,PacBio,200.0x,SOAPdenovo v. 3.2,1,NA,1,4078346,55.93,3818,3652,NA,municipal wastewater,NA,5/1/14,China,China: Hangzhou,NA,NA,NA,NA,temperature:30 degree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The complete genome sequence of Alcaligenes faecalis strain JQ135.,sample_type:wastewater;collected_by:Jiguo Qiu,95.1,94.2,100,NA,NA,Good,2017-09-28T19:48:03Z,2017-09-28T19:48:03Z
1895705.3,Alphaproteobacteria bacterium 40-19,NA,1895705,Complete,40-19,NA,NA,NA,NA,NA,NA,NA,2016-12-09T00:00:00Z,NA,PRJNA279279,SAMN05660520,GCA_001898075.1,NA,MKSD00000000,NA,"Banfield Lab, University of California, Berkeley",NA,Illumina HiSeq2500,10x,idba_ud v. 10.06.2014s,NA,NA,1,988388,39.8,1101,962,NA,Thiocyanate stock biobioreactor,NA,29-Aug-13,South Africa,South Africa: University of Cape Town,NA,NA,NA,NA,env_biome:Bioreactor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gold mining and other industrial activities make extensive use of cyanide (CN-) and produce large volumes of thiocyanate- (SCN-) contaminated wastewater that must be treated before reuse in mining processes. Furthermore, contaminated wastewater stored in tailings dams may pose an environmental threat through the potential for leakage into local groundwater. Microbial communities are often used for biodegradation and environmental remediation, however, little is known about the membership and metabolic potential of SCN-degrading consortia. Application and improvement of the remediation strategy will benefit from an understanding of organisms that can contribute to the breakdown of SCN- into sulfur, carbon and nitrogen compounds. To this end, we performed metagenomic analysis of samples from two laboratory-scale bioreactors used to study SCN- and CN- degradation by established microbial consortia. Community analysis revealed the dominance of Thiobacillus spp. whose genomes harbor a previously unreported operon for SCN- degradation. Metabolic predictions suggest that a large portion of each bioreactor community is autotrophic, relying not on molasses in reactor feed, but using energy gained from oxidation of the sulfur compounds produced during SCN- degradation. Heterotrophs compose a smaller portion of the reactor bacterial community, and predation by phage and eukaryotes is predicted to affect community dynamics. Furthermore, genes for ammonium oxidation and denitrification were detected, possibly allowing removal of nitrogen as required for complete remediation of wastewater. These findings suggest possible optimization strategies for reactor design such as improved aerobic/anaerobic partitioning and elimination of organic carbon from reactor feed.;derived from metagenome",sample_type:metagenomic assembly,93.2,92.9,61.3,3.1,NA,Good,2017-01-16T13:54:20Z,2017-01-16T13:54:20Z
891968.3,Anaerobaculum mobile DSM 13181,Anaerobaculum mobile DSM 13181,891968,Complete,DSM 13181,NA,NA,NA,NA,NA,NA,NA,2012-06-12T00:00:00Z,11837298,PRJNA53351,SAMN02261375,GCA_000266925.1,"SRR345262,SRR345263,SRR3926597,SRR400469",CP003198.1,NC_018024.1,JGI,complete,NA,NA,NA,1,NA,1,2160700,37.7,2094,2017,NA,Anaerobic wool-scouring wastewater treatment lagoon,Anaerobic wool-scouring wastewater treatment lagoon,NA,Uruguay,Uruguay: Trinidad,-33.5055,-56.8894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This strain is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.,NA,99.3,99.3,97.4,1.3,NA,Good,2014-12-08T22:10:02Z,2015-03-16T03:17:09Z
