EC,description,uniprot,transferred,unspecific_ec
1.1.1.1,Alcohol dehydrogenase.,P07327 P28469 Q5RBP7 P25405 P00325 Q5R1W2 P14139 P25406 P00327 P00326 O97959 P00328 P80222 P30350 P49645 P06525 P41747 Q17334 P43067 P85440 P48814 Q70UN9 P23991 P86883 P19631 P23236 P48586 P09370 P22246 P07161 P12854 P08843 P26325 Q9Z2M2 Q64413 Q64415 P12311 P05336 P20369 Q07288 P00333 P86885 P00329 P80512 Q9P6C8 Q75ZX4 Q2R8Z5 P12886 P22797 P14219 P41680 P25141 O00097 Q03505 P06757 P14673 P80338 P13603 P00330 Q07264 P20368 O45687 O94038 P48815 Q70UP5 Q70UP6 P27581 P25720 P23237 P48587 P09369 P07160 P24267 P37686 P54202 Q24803 P42327 P10847 P49383 Q9P4C2 P04707 Q4R1E8 Q0ITW7 O13309 P28032 P14674 F2Z678 P00331 F8DVL8 P0DJA2 P07754 P42328 P10848 P49384 P14675 P07246 P08319 P49385 Q9QYY9 Q64563 Q09669 P80468 A6ZTT5 P10127 Q6XQ67 P38113 P28332 P41681 Q5R7Z8 Q5XI95 P40394 Q64437 P41682 P9WQC0 P9WQC1 O31186 Q7U1B9 P9WQC6 P9WQC7 P9WQB8 P9WQB9 P33744 P0A9Q8 P0A9Q7 P81600 P72324 Q9SK86 Q9SK87 A1L4Y2 Q8VZ49 Q0V7W6 Q8LEB2 Q9FH04 P81601 P39451 O46649 O46650 Q96533 Q3ZC42 Q17335 Q54TC2 P46415 P19854 P11766 P93629 P28474 P80360 P81431 A2XAZ3 Q0DWH1 P80572 O19053 P12711 P80467 P86884 P79896 Q9NAR7 P14940 Q0KDL6 Q00669 P21518 P25139 Q50L96 P48584 P22245 Q9NG42 P28483 P48585 P51551 Q09009 P51549 P21898 Q07588 Q9NG40 Q27404 P10807 P07162 Q09010 P00334 Q00671 P25721 Q00672 P07159 P84328 P37473 P23361 P23277 Q6LCE4 Q9U8S9 Q9GN94 Q24641 P23278 Q03384 P28484 P51550 B4M8Y0 Q05114 P26719 P17648 P48977 P81786 P9WQC2 P9WQC3 P25988 Q00670 P00332 Q2FJ31 Q2G0G1 Q2YSX0 Q5HI63 Q99W07 Q7A742 Q6GJ63 Q6GBM4 Q8NXU1 Q5HRD6 Q8CQ56 Q4J781 P39462 P50381 Q96XE0 P51552 Q5AR48 A5JYX5 P32771 A7ZIA4 Q8X5J4 A7ZX04 A1A835 Q0TKS7 Q8FKG1 B1J085 P25437 B1LIP1 Q1RFI7 P44557 P39450 Q3Z550 P73138 P71017 N4WE73 A1CFL1 N4WE43 N4WW42 P33010 O07737,FALSE,1.1.1
1.1.1.10,L-xylulose reductase.,Q1JP75 Q21929 Q920N9 Q7Z4W1 Q91XV4 Q91X52 Q920P0 Q8JIS3 G0RH19 G3YG17,FALSE,1.1.1
1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase.,Q8TGA2 Q93X62 Q93X67 Q949M3 Q949M2 Q93X68 P27582 P70720 O67610 P33207 P51831 P57432 Q8K9J5 Q89AG9 Q9PKF7 Q9Z8P2 P38004 P28643 P0AEK2 P43713 O07399 P0A5Y5 P71534 P9WGT2 P9WGT3 P27583 O54438 Q1RKB7 Q92GE0 Q4UK62 P50941 Q68VY7 P0A2D0 P0A2C9 O42866 P0AEK3 Q5HGK2 P0A0H9 P99093 Q6GHK4 Q6G9Y2 P0A0I0 Q5HPW0 Q8CPI3 P73574 Q9X248 Q9KQH7 P55336 P35731 P43098 G8BAW7 P78615 Q5B7V0 Q765N2 P15368 Q10289 P19097 Q71SP7 P12276 P49327 P19096 P12785 A7TUG9 M2YJJ3 Q9RPT1,FALSE,1.1.1
1.1.1.101,Acylglycerone-phosphate reductase.,Q09851 P40471,FALSE,1.1.1
1.1.1.102,3-dehydrosphinganine reductase.,Q2KIJ5 Q556J2 Q06136 Q6GV12 Q0WRJ2 F4JZN6 Q758B6 Q59RQ2 Q6FQ42 P0CR37 P0CR36 Q6BQK1 Q5BE65 Q6CLN0 Q7RZR2 Q6CE86 P38342,FALSE,1.1.1
1.1.1.103,L-threonine 3-dehydrogenase.,A0KQV6 A4SHB7 B9J738 B6ESA4 B4S298 B8J714 Q2IJN4 A7HEI5 B4UMJ1 Q65JE7 O31776 A7Z4X0 Q2KIR8 B1YXP0 Q1BK24 B1K269 A0B459 B4EFZ7 Q0B5Q1 Q38ZS8 A9AR24 A3MAC8 A2RZW5 Q62EL5 A1UXP8 A3P139 Q3JID4 A3NF91 Q63PD9 Q2T9E1 A4JKG7 Q8R7K0 Q11L77 Q7NXH5 A8ARK6 Q48AM4 B6J2S1 A9KET6 A9NA21 Q83F39 A7MID0 Q6AAR3 C1D195 Q9RTU4 A7ZTH0 B7ULH2 B7MFI0 B7L742 Q8XEJ1 B5YWB7 B7NPC5 B7N1S0 B7M4A3 C4ZXK8 B1X950 A8A681 A1AHF3 Q0TBJ0 Q8FCA2 B1IZH4 P07913 B7NES3 B6I3J6 B1LK55 Q1R4X4 C5BB99 A4W529 B7LVH6 B0TYR8 Q14IB6 A7NDM9 Q2A282 B2SDJ2 A0Q5K3 Q0BKV5 Q5NGW4 A4IZ92 Q5QUN8 B5XTI4 A6TFL2 Q5X748 A5IGK7 Q5ZXM9 Q5WYJ7 A6W1W3 Q8K3F7 B2JPU0 B2T7X5 Q6MD15 Q13SG2 Q6DAT5 C6DIA7 Q7MY48 Q6LRD9 Q8MIR0 B4F134 Q15ZU4 Q3IHW0 A1SVW5 Q9UYX0 Q8U259 O58389 B3PUI4 Q2K618 Q1MDT5 Q983J7 B5ZXE7 Q52998 Q5LN53 A4FND4 B5EXC3 A9MKQ8 Q57IC5 B5FLI6 B5R5E1 B5RGH0 B4T9A1 B4SXB9 Q5PC07 A9MVL0 C0Q1V0 B5BHZ1 B4TZV9 Q8Z2F4 Q8ZL52 A8GLC6 A1S1Q3 B8EDS6 A3CYN0 A6WUG6 A9KWY0 Q07W50 B0TNM4 A3QJC8 Q8E8J1 A8GYP8 A4YCC5 A0L2Q3 A8FPE0 Q0HDA3 Q0HPI5 A1RE07 B1KL24 B2U5D5 Q31V06 Q329N8 Q0SYE5 P59409 Q3YVY1 C3MFH1 A6UBM6 Q02BT1 Q82MN2 Q9L233 B1VWE7 B2FQN4 Q67N85 Q5JI69 B6YTJ5 Q72L62 Q5SKS4 A5F0N6 Q9KL62 C3LWF0 Q5E0F9 B5ETJ6 P59410 B7VR52 Q8D442 Q7MFL5 Q8PNN2 Q3BWT0 Q4URI9 B0RU31 O34268 Q2NZP2 Q5GWI3 A1JHX8 A7FCU5 Q1C278 B2JYP4 Q8ZJN2 A9R685 Q1CD13 A4TSC6 Q66GC5 B1JQW2,FALSE,1.1.1
1.1.1.105,All-trans-retinol dehydrogenase (NAD(+)).,Q3T001 O14756 Q9R092 O54753 P50170 O88451 P55006 Q8N3Y7 Q7TQA3,FALSE,1.1.1
1.1.1.107,Pyridoxal 4-dehydrogenase.,Q988B7 Q76KC2,FALSE,1.1.1
1.1.1.108,Carnitine 3-dehydrogenase.,Q7D3B2 Q4V182 Q62DG4 Q63MT0 D7B2S5 Q8CUW0 Q9HTH8 Q88R32 D7URM0 Q4ZSC0 Q98CR3 Q92NF5 D7UNT2 Q5LTH8 Q8CQB9 Q93RX5 B1VLT7,FALSE,1.1.1
1.1.1.109,Transferred entry: 1.3.1.28,P39071 P15047 Q56632,TRUE,1.1.1
